Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000015575	ctsd	LG1	+	43174	50651	47.234074	108.750893	131.206146
ENSONIG00000029064	-	LG1	-	60065	71624	0.000000	0.000000	0.000000
ENSONIG00000015584	sirt3	LG1	-	102896	147166	0.243452	3.116370	3.759849
ENSONIG00000030102	drd4b	LG1	+	109896	124733	0.000000	0.000000	0.000000
ENSONIG00000015587	psmd13	LG1	+	147168	152791	30.317604	57.691265	69.603546
ENSONIG00000040017	-	LG1	+	166674	173128	0.000000	0.000000	0.000000
ENSONIG00000015598	csnk2a2a	LG1	+	185847	210005	8.262207	22.885660	27.611166
ENSONIG00000015601	MATCAP1	LG1	-	211080	240465	0.000000	0.000000	0.000000
ENSONIG00000034066	zgc:194679	LG1	+	271820	273556	0.000000	0.000000	0.000000
ENSONIG00000040224	-	LG1	-	363621	364775	0.000000	0.000000	0.000000
ENSONIG00000015603	-	LG1	+	438490	498765	0.000000	0.000000	0.000000
ENSONIG00000041570	-	LG1	+	695479	698251	0.000000	0.000000	0.000000
ENSONIG00000030686	-	LG1	-	846344	847360	0.000000	0.000000	0.000000
ENSONIG00000027302	-	LG1	-	974289	983353	0.000000	0.000000	0.000000
ENSONIG00000007031	-	LG1	-	1003379	1054848	0.000000	0.000000	0.000000
ENSONIG00000041977	-	LG1	+	1011504	1012523	0.000000	0.000000	0.000000
ENSONIG00000007022	PPIP5K1	LG1	+	1095240	1128418	5.252749	10.681765	12.887371
ENSONIG00000029455	MAP1A	LG1	-	1139947	1184212	0.000000	0.000000	0.000000
ENSONIG00000007015	tp53bp1	LG1	+	1191930	1210506	3.705778	5.328043	6.428195
ENSONIG00000007009	tubgcp4	LG1	-	1211366	1222498	2.263082	3.864541	4.662504
ENSONIG00000007008	cdkn2aip	LG1	+	1222843	1225056	10.695202	15.377202	18.552338
ENSONIG00000007007	-	LG1	-	1246690	1248211	45.775536	65.814529	79.404129
ENSONIG00000038256	cartl	LG1	-	1311155	1313716	0.000000	0.000000	0.000000
ENSONIG00000006998	iqgap1	LG1	+	1317919	1359131	16.255211	48.349094	58.332378
ENSONIG00000037028	-	LG1	+	1362983	1369727	3.907408	5.617940	6.777951
ENSONIG00000006994	-	LG1	+	1372754	1407019	2.027468	16.115763	19.443399
ENSONIG00000006993	-	LG1	+	1424388	1473775	0.577821	2.245637	2.709324
ENSONIG00000006987	SERINC4	LG1	-	1477675	1504038	0.000000	0.000000	0.000000
ENSONIG00000039947	-	LG1	-	1510637	1511653	0.000000	0.000000	0.000000
ENSONIG00000042789	-	LG1	+	1522926	1525526	0.000000	0.000000	0.000000
ENSONIG00000006986	hypk	LG1	+	1532883	1536172	176.800934	254.198456	306.686188
ENSONIG00000006983	mfap1	LG1	-	1535876	1541318	18.662718	29.026764	35.020309
ENSONIG00000006982	hddc3	LG1	-	1542200	1544284	5.566096	8.002746	9.655180
ENSONIG00000006972	vps33b	LG1	+	1544680	1553505	7.009499	10.078023	12.158966
ENSONIG00000006966	prc1b	LG1	+	1554057	1569394	4.635205	8.175358	9.863432
ENSONIG00000006965	ptpmt1	LG1	+	1570913	1587436	8.549839	12.292671	14.830903
ENSONIG00000006959	ndufs3	LG1	+	1588731	1596645	62.844921	99.673401	120.254311
ENSONIG00000035972	c1qtnf4	LG1	-	1601159	1603757	0.000000	0.000000	0.000000
ENSONIG00000032543	-	LG1	-	1616216	1617412	0.000000	0.000000	0.000000
ENSONIG00000033438	-	LG1	+	1726612	1728456	0.000000	0.000000	0.000000
ENSONIG00000032403	-	LG1	+	1823282	1826191	0.000000	0.000000	0.000000
ENSONIG00000006940	-	LG1	+	1830577	1833430	0.000000	0.000000	0.000000
ENSONIG00000032169	-	LG1	-	1833909	1835855	0.000000	0.000000	0.000000
ENSONIG00000027529	-	LG1	+	1850747	1852573	0.000000	0.000000	0.000000
ENSONIG00000006935	atp6v0d1	LG1	+	1885753	1893754	18.768944	53.020344	63.968155
ENSONIG00000041202	oni-mir-10581d	LG1	+	1891172	1891227	0.000000	0.000000	0.000000
ENSONIG00000006931	foxr1	LG1	+	1903702	1909403	0.000000	0.000000	0.000000
ENSONIG00000031130	-	LG1	+	2002303	2004771	0.000000	0.000000	0.000000
ENSONIG00000034883	-	LG1	-	2022157	2067806	0.000000	0.000000	0.000000
ENSONIG00000037659	-	LG1	-	2025744	2036371	0.000000	0.000000	0.000000
ENSONIG00000040556	-	LG1	+	2068920	2071854	0.000000	0.000000	0.000000
ENSONIG00000015607	large2	LG1	-	2087727	2142589	1.359708	2.683144	3.237168
ENSONIG00000034014	-	LG1	+	2186974	2188101	0.000000	0.000000	0.000000
ENSONIG00000035622	-	LG1	-	2263691	2270544	0.000000	0.000000	0.000000
ENSONIG00000040408	-	LG1	-	2390751	2392184	0.000000	0.000000	0.000000
ENSONIG00000040736	-	LG1	+	2484422	2485441	0.000000	0.000000	0.000000
ENSONIG00000015612	-	LG1	+	2518265	2535255	13.442807	26.234844	31.651901
ENSONIG00000015615	-	LG1	+	2541392	2545268	0.000000	0.000000	0.000000
ENSONIG00000030395	-	LG1	+	2546683	2552026	0.000000	0.000000	0.000000
ENSONIG00000015616	-	LG1	+	2552674	2571376	0.000000	0.000000	0.000000
ENSONIG00000015618	ABTB2	LG1	+	2574288	2596783	0.000000	0.000000	0.000000
ENSONIG00000015626	BRSK2	LG1	-	2598847	2749824	0.000000	0.000000	0.000000
ENSONIG00000036551	-	LG1	+	2767913	2777425	2.679001	3.851778	4.647106
ENSONIG00000015633	rdh14a	LG1	+	2779978	2781595	3.022067	4.345026	5.242202
ENSONIG00000015636	-	LG1	+	2799371	2836356	2.486011	8.075660	9.743149
ENSONIG00000039450	SHANK2	LG1	+	2872213	3179253	0.000000	0.000000	0.000000
ENSONIG00000042241	-	LG1	-	3130909	3131928	0.000000	0.000000	0.000000
ENSONIG00000015695	dis3l	LG1	+	3304668	3344969	7.621930	11.521678	13.900711
ENSONIG00000029040	tipin	LG1	-	3345053	3358277	4.217762	6.064157	7.316304
ENSONIG00000032246	-	LG1	+	3350171	3350524	0.000000	0.000000	0.000000
ENSONIG00000015683	lctla	LG1	-	3365354	3377648	0.000000	0.000000	0.000000
ENSONIG00000015677	ccnb2	LG1	-	3388488	3391500	2.791385	4.013360	4.842052
ENSONIG00000015673	cars1	LG1	-	3394673	3409962	9.329165	16.061195	19.377565
ENSONIG00000028006	-	LG1	+	3397912	3398967	0.000000	0.000000	0.000000
ENSONIG00000015670	pex16	LG1	+	3411829	3426469	5.810802	8.354576	10.079657
ENSONIG00000030524	-	LG1	-	3418990	3420048	0.000000	0.000000	0.000000
ENSONIG00000015660	arfgap2	LG1	-	3426890	3441708	10.082680	22.744371	27.440706
ENSONIG00000015659	-	LG1	+	3442381	3455200	33.720501	48.482204	58.492970
ENSONIG00000015649	ppfia1	LG1	+	3511086	3556602	9.130941	13.774625	16.618855
ENSONIG00000028931	-	LG1	-	3591393	3611246	0.000000	0.000000	0.000000
ENSONIG00000027350	-	LG1	-	3631525	3633870	0.000000	0.000000	0.000000
ENSONIG00000035664	-	LG1	-	3651938	3656401	0.000000	0.000000	0.000000
ENSONIG00000008311	-	LG1	+	3840314	3856285	0.000000	0.000000	0.000000
ENSONIG00000008316	tollip	LG1	-	3857507	4050728	21.045933	35.795052	43.186131
ENSONIG00000038545	-	LG1	+	3868610	3871834	0.000000	0.000000	0.000000
ENSONIG00000007321	mtch2	LG1	+	3933805	3954320	6.542453	49.676128	59.933422
ENSONIG00000007320	TLNRD1	LG1	+	3964812	3966516	12.620083	18.144732	21.891315
ENSONIG00000033358	-	LG1	+	4020671	4022659	0.000000	0.000000	0.000000
ENSONIG00000028757	oni-mir-10898	LG1	+	4023316	4023386	0.000000	0.000000	0.000000
ENSONIG00000042289	-	LG1	+	4024419	4027454	0.000000	0.000000	0.000000
ENSONIG00000033332	-	LG1	-	4064079	4065365	0.000000	0.000000	0.000000
ENSONIG00000018108	-	LG1	+	4076096	4080271	1.337644	4.001676	4.827956
ENSONIG00000018107	-	LG1	-	4080092	4083797	6.280532	11.039509	13.318983
ENSONIG00000018097	ano1a	LG1	-	4095844	4146477	1.739127	9.300970	11.221465
ENSONIG00000032473	-	LG1	-	4159786	4162049	0.000000	0.000000	0.000000
ENSONIG00000028697	-	LG1	-	4164218	4173197	0.000000	0.000000	0.000000
ENSONIG00000018095	zgc:153993	LG1	+	4176264	4184080	11.970075	17.210173	20.763786
ENSONIG00000041456	ccnd1	LG1	-	4245419	4248541	2.705044	3.889221	4.692281
ENSONIG00000039148	-	LG1	+	4260090	4263482	0.000000	0.000000	0.000000
ENSONIG00000042913	-	LG1	+	4370982	4372604	0.000000	0.000000	0.000000
ENSONIG00000032417	-	LG1	-	4391508	4395329	0.000000	0.000000	0.000000
ENSONIG00000005417	vps35	LG1	+	4520271	4558391	11.273456	57.579720	69.468971
ENSONIG00000041258	-	LG1	-	4551113	4553239	0.000000	0.000000	0.000000
ENSONIG00000005410	ANO9	LG1	-	4560534	4577946	6.561181	10.344663	12.480662
ENSONIG00000028794	-	LG1	-	4579875	4582475	0.000000	0.000000	0.000000
ENSONIG00000039376	-	LG1	-	4599521	4601042	9.097308	13.079804	15.780565
ENSONIG00000005403	shcbp1	LG1	+	4606900	4621164	3.639805	13.904775	16.775879
ENSONIG00000005401	spg21	LG1	-	4624279	4637105	41.878532	60.211548	72.644226
ENSONIG00000005479	LRRK1	LG1	+	4663008	4766483	2.012620	4.553924	5.494233
ENSONIG00000028995	-	LG1	-	4675510	4677123	0.000000	0.000000	0.000000
ENSONIG00000040572	-	LG1	+	4780010	4798196	0.000000	0.000000	0.000000
ENSONIG00000038365	-	LG1	+	4787579	4790530	0.000000	0.000000	0.000000
ENSONIG00000013802	ADAMTS17	LG1	+	4800203	4949828	0.000000	0.000000	0.000000
ENSONIG00000013805	MINAR1	LG1	+	4954084	4969323	0.000000	0.000000	0.000000
ENSONIG00000033071	-	LG1	+	4977674	4980274	0.000000	0.000000	0.000000
ENSONIG00000013807	mthfs	LG1	-	4988998	4995772	2.426392	3.488585	4.208920
ENSONIG00000013809	CERS3	LG1	-	5013197	5036000	2.428324	7.441370	8.977889
ENSONIG00000028048	-	LG1	+	5027311	5030013	0.000000	0.000000	0.000000
ENSONIG00000013810	-	LG1	-	5041348	5048065	3.727039	5.358612	6.465075
ENSONIG00000039807	asb7	LG1	+	5050951	5064065	2.428231	3.491229	4.212110
ENSONIG00000032648	-	LG1	-	5069445	5070992	0.000000	0.000000	0.000000
ENSONIG00000037983	-	LG1	-	5071656	5074256	0.000000	0.000000	0.000000
ENSONIG00000038449	-	LG1	-	5097023	5099029	0.000000	0.000000	0.000000
ENSONIG00000015036	ankdd1a	LG1	+	5100818	5106306	1.316210	1.892403	2.283152
ENSONIG00000015038	-	LG1	-	5116191	5122672	94.599525	297.845215	359.345276
ENSONIG00000015044	-	LG1	+	5184463	5198133	10.538427	15.151797	18.280390
ENSONIG00000015047	STARD5	LG1	-	5202171	5216339	1.665456	2.394537	2.888969
ENSONIG00000034411	oni-mir-10621b	LG1	+	5206787	5206849	0.000000	0.000000	0.000000
ENSONIG00000015050	TMC3	LG1	-	5217035	5250743	0.000000	0.000000	0.000000
ENSONIG00000033969	pole3	LG1	-	5265248	5279453	11.621886	16.709558	20.159803
ENSONIG00000015056	kmt5b	LG1	+	5285710	5292425	0.995236	1.853050	2.235673
ENSONIG00000028743	-	LG1	-	5371278	5375105	0.000000	0.000000	0.000000
ENSONIG00000015060	HERC1	LG1	-	5412679	5493403	6.752250	9.753508	11.767444
ENSONIG00000021931	U6	LG1	-	5420599	5420706	0.000000	0.000000	0.000000
ENSONIG00000015069	dapk2a	LG1	-	5506564	5532609	0.000000	0.000000	0.000000
ENSONIG00000028146	-	LG1	+	5533843	5552199	1.623212	2.395486	2.890114
ENSONIG00000015072	rab11a	LG1	+	5556653	5567113	9.571877	22.547213	27.202837
ENSONIG00000015074	-	LG1	-	5585209	5650381	0.000000	0.000000	0.000000
ENSONIG00000007145	htatip2	LG1	+	5707537	5710487	12.178273	17.509512	21.124935
ENSONIG00000007146	prmt3	LG1	+	5719082	5780348	4.057004	9.923186	11.972159
ENSONIG00000032200	-	LG1	+	5919000	5920013	0.000000	0.000000	0.000000
ENSONIG00000007149	NELL1	LG1	+	5944297	6230548	0.000000	0.000000	0.000000
ENSONIG00000029700	-	LG1	-	6094926	6100651	0.000000	0.000000	0.000000
ENSONIG00000040626	-	LG1	-	6173139	6174357	0.000000	0.000000	0.000000
ENSONIG00000021671	-	LG1	-	6306569	6306682	0.000000	0.000000	0.000000
ENSONIG00000021722	-	LG1	-	6307716	6307820	0.000000	0.000000	0.000000
ENSONIG00000007159	lrp4	LG1	-	6310996	6419391	0.000000	0.000000	0.000000
ENSONIG00000030923	A3GALT2	LG1	-	6536410	6539964	0.000000	0.000000	0.000000
ENSONIG00000027339	-	LG1	+	6545934	6547562	0.000000	0.000000	0.000000
ENSONIG00000028501	-	LG1	+	6582538	6583500	0.000000	0.000000	0.000000
ENSONIG00000033146	-	LG1	-	6583663	6586091	0.000000	0.000000	0.000000
ENSONIG00000039821	-	LG1	+	6583663	6589396	0.000000	0.000000	0.000000
ENSONIG00000039361	A3GALT2	LG1	-	6623245	6626193	0.000000	0.000000	0.000000
ENSONIG00000028598	A3GALT2	LG1	-	6631728	6634593	0.000000	0.000000	0.000000
ENSONIG00000034309	-	LG1	+	6644386	6645630	0.000000	0.000000	0.000000
ENSONIG00000028428	A3GALT2	LG1	-	6683026	6691820	0.000000	0.000000	0.000000
ENSONIG00000039724	A3GALT2	LG1	-	6738637	6741584	0.000000	0.000000	0.000000
ENSONIG00000030911	-	LG1	+	6745286	6747886	0.000000	0.000000	0.000000
ENSONIG00000039675	-	LG1	-	6794167	6799245	4.905444	7.052883	8.509186
ENSONIG00000007063	ero1a	LG1	-	6800237	6809299	8.207131	12.316629	14.859809
ENSONIG00000007076	SAMD4A	LG1	+	6814322	6884361	0.000000	0.000000	0.000000
ENSONIG00000007079	gch1	LG1	-	6897867	6913629	0.000000	0.000000	0.000000
ENSONIG00000007084	wdhd1	LG1	-	6917015	6937444	2.741047	5.672072	6.843260
ENSONIG00000007087	DENND4A	LG1	+	6976495	7080747	0.000000	0.000000	0.000000
ENSONIG00000042264	-	LG1	-	7039370	7040413	0.000000	0.000000	0.000000
ENSONIG00000007103	HACD3	LG1	-	7115216	7126910	7.080585	12.575576	15.172223
