Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000015575	ctsd	LG1	+	43174	50651	23.983435	85.358368	96.354553
ENSONIG00000015584	sirt3	LG1	-	102896	147166	0.391870	7.957952	8.983126
ENSONIG00000030102	drd4b	LG1	+	109896	124733	0.000000	0.000000	0.000000
ENSONIG00000015587	psmd13	LG1	+	147168	152791	17.834835	52.461597	59.219902
ENSONIG00000015598	csnk2a2a	LG1	+	185847	210005	9.389889	40.205463	45.384880
ENSONIG00000015601	MATCAP1	LG1	-	211080	240465	0.000000	0.000000	0.000000
ENSONIG00000040224	-	LG1	-	363621	364775	0.000000	0.000000	0.000000
ENSONIG00000015603	-	LG1	+	438490	498765	0.000000	0.000000	0.000000
ENSONIG00000041570	-	LG1	+	695479	698251	0.000000	0.000000	0.000000
ENSONIG00000030686	-	LG1	-	846344	847360	0.000000	0.000000	0.000000
ENSONIG00000027302	-	LG1	-	974289	983353	0.000000	0.000000	0.000000
ENSONIG00000007031	-	LG1	-	1003379	1054848	0.000000	0.000000	0.000000
ENSONIG00000041977	-	LG1	+	1011504	1012523	0.000000	0.000000	0.000000
ENSONIG00000007022	PPIP5K1	LG1	+	1095240	1128418	1.931020	6.070164	6.852145
ENSONIG00000029455	MAP1A	LG1	-	1139947	1184212	0.000000	0.000000	0.000000
ENSONIG00000007015	tp53bp1	LG1	+	1191930	1210506	2.231333	4.959182	5.598042
ENSONIG00000007009	tubgcp4	LG1	-	1211366	1222498	0.000000	0.000000	0.000000
ENSONIG00000007008	cdkn2aip	LG1	+	1222843	1225056	2.618062	5.818695	6.568281
ENSONIG00000007007	-	LG1	-	1246690	1248211	3.256532	7.237707	8.170095
ENSONIG00000038256	cartl	LG1	-	1311155	1313716	0.000000	0.000000	0.000000
ENSONIG00000006998	iqgap1	LG1	+	1317919	1359131	7.958198	36.399677	41.088825
ENSONIG00000037028	-	LG1	+	1362983	1369727	0.000000	0.000000	0.000000
ENSONIG00000006994	-	LG1	+	1372754	1407019	0.886818	10.896541	12.300275
ENSONIG00000006993	-	LG1	+	1424388	1473775	0.000000	0.000000	0.000000
ENSONIG00000006987	SERINC4	LG1	-	1477675	1504038	0.000000	0.000000	0.000000
ENSONIG00000039947	-	LG1	-	1510637	1511653	0.000000	0.000000	0.000000
ENSONIG00000042789	-	LG1	+	1522926	1525526	0.000000	0.000000	0.000000
ENSONIG00000006986	hypk	LG1	+	1532883	1536172	183.288055	407.361298	459.839142
ENSONIG00000006983	mfap1	LG1	-	1535876	1541318	9.722569	23.310032	26.312920
ENSONIG00000006982	hddc3	LG1	-	1542200	1544284	5.959565	13.245252	14.951554
ENSONIG00000006972	vps33b	LG1	+	1544680	1553505	4.774142	10.610624	11.977526
ENSONIG00000006966	prc1b	LG1	+	1554057	1569394	4.155387	11.329389	12.788885
ENSONIG00000006965	ptpmt1	LG1	+	1570913	1587436	7.083601	15.743443	17.771572
ENSONIG00000006959	ndufs3	LG1	+	1588731	1596645	60.088604	147.318909	166.297089
ENSONIG00000032543	-	LG1	-	1616216	1617412	0.000000	0.000000	0.000000
ENSONIG00000033438	-	LG1	+	1726612	1728456	0.000000	0.000000	0.000000
ENSONIG00000032403	-	LG1	+	1823282	1826191	0.000000	0.000000	0.000000
ENSONIG00000006940	-	LG1	+	1830577	1833430	0.000000	0.000000	0.000000
ENSONIG00000032169	-	LG1	-	1833909	1835855	0.000000	0.000000	0.000000
ENSONIG00000027529	-	LG1	+	1850747	1852573	0.000000	0.000000	0.000000
ENSONIG00000006935	atp6v0d1	LG1	+	1885753	1893754	10.424017	45.685539	51.570923
ENSONIG00000041202	oni-mir-10581d	LG1	+	1891172	1891227	0.000000	0.000000	0.000000
ENSONIG00000006931	foxr1	LG1	+	1903702	1909403	0.000000	0.000000	0.000000
ENSONIG00000034883	-	LG1	-	2022157	2067806	0.000000	0.000000	0.000000
ENSONIG00000037659	-	LG1	-	2025744	2036371	0.000000	0.000000	0.000000
ENSONIG00000040556	-	LG1	+	2068920	2071854	0.000000	0.000000	0.000000
ENSONIG00000015607	large2	LG1	-	2087727	2142589	0.000000	0.000000	0.000000
ENSONIG00000034014	-	LG1	+	2186974	2188101	0.000000	0.000000	0.000000
ENSONIG00000028674	-	LG1	+	2227974	2229422	0.000000	0.000000	0.000000
ENSONIG00000040408	-	LG1	-	2390751	2392184	0.000000	0.000000	0.000000
ENSONIG00000040736	-	LG1	+	2484422	2485441	0.000000	0.000000	0.000000
ENSONIG00000015612	-	LG1	+	2518265	2535255	6.866774	20.715651	23.384319
ENSONIG00000015616	-	LG1	+	2552674	2571376	0.000000	0.000000	0.000000
ENSONIG00000015618	ABTB2	LG1	+	2574288	2596783	0.000000	0.000000	0.000000
ENSONIG00000015626	BRSK2	LG1	-	2598847	2749824	0.000000	0.000000	0.000000
ENSONIG00000036551	-	LG1	+	2767913	2777425	0.000000	0.000000	0.000000
ENSONIG00000015633	rdh14a	LG1	+	2779978	2781595	1.968641	4.375343	4.938992
ENSONIG00000015636	-	LG1	+	2799371	2836356	1.909744	10.414358	11.755976
