Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
ENSONIG00000015575	ctsd	LG1	+	43174	50651	82.596428	149.696136	187.123795
ENSONIG00000015584	sirt3	LG1	-	102896	147166	0.524565	5.650290	7.063000
ENSONIG00000030102	drd4b	LG1	+	109896	124733	0.000000	0.000000	0.000000
ENSONIG00000015587	psmd13	LG1	+	147168	152791	36.267475	54.325577	67.908287
ENSONIG00000040017	-	LG1	+	166674	173128	0.000000	0.000000	0.000000
ENSONIG00000015598	csnk2a2a	LG1	+	185847	210005	15.055421	33.858707	42.324203
ENSONIG00000015601	MATCAP1	LG1	-	211080	240465	0.000000	0.000000	0.000000
ENSONIG00000040224	-	LG1	-	363621	364775	0.000000	0.000000	0.000000
ENSONIG00000015603	-	LG1	+	438490	498765	0.000000	0.000000	0.000000
ENSONIG00000041570	-	LG1	+	695479	698251	0.000000	0.000000	0.000000
ENSONIG00000030686	-	LG1	-	846344	847360	0.000000	0.000000	0.000000
ENSONIG00000034011	-	LG1	+	934540	944534	0.000000	0.000000	0.000000
ENSONIG00000007031	-	LG1	-	1003379	1054848	1.123194	1.278172	1.597745
ENSONIG00000041977	-	LG1	+	1011504	1012523	0.000000	0.000000	0.000000
ENSONIG00000007022	PPIP5K1	LG1	+	1095240	1128418	8.006730	12.923345	16.154495
ENSONIG00000029455	MAP1A	LG1	-	1139947	1184212	0.000000	0.000000	0.000000
ENSONIG00000007015	tp53bp1	LG1	+	1191930	1210506	6.998222	7.920414	9.900710
ENSONIG00000007009	tubgcp4	LG1	-	1211366	1222498	3.687797	4.957201	6.196620
ENSONIG00000007008	cdkn2aip	LG1	+	1222843	1225056	11.797742	13.352391	16.690813
ENSONIG00000007007	-	LG1	-	1246690	1248211	14.894300	16.857000	21.071657
ENSONIG00000038256	cartl	LG1	-	1311155	1313716	0.000000	0.000000	0.000000
ENSONIG00000006998	iqgap1	LG1	+	1317919	1359131	14.988824	34.917252	43.647415
ENSONIG00000037028	-	LG1	+	1362983	1369727	2.891975	3.273066	4.091412
ENSONIG00000006994	-	LG1	+	1372754	1407019	1.827566	11.435146	14.294210
ENSONIG00000006993	-	LG1	+	1424388	1473775	0.586501	1.803019	2.253817
ENSONIG00000006987	SERINC4	LG1	-	1477675	1504038	0.000000	0.000000	0.000000
ENSONIG00000039947	-	LG1	-	1510637	1511653	0.000000	0.000000	0.000000
ENSONIG00000042789	-	LG1	+	1522926	1525526	0.000000	0.000000	0.000000
ENSONIG00000006986	hypk	LG1	+	1532883	1536172	235.768143	266.836517	333.552155
ENSONIG00000006983	mfap1	LG1	-	1535876	1541318	28.741898	35.247887	44.060711
ENSONIG00000006982	hddc3	LG1	-	1542200	1544284	6.636081	7.510552	9.388372
ENSONIG00000006972	vps33b	LG1	+	1544680	1553505	11.445910	12.954198	16.193060
ENSONIG00000006966	prc1b	LG1	+	1554057	1569394	5.264037	7.308504	9.135807
ENSONIG00000006965	ptpmt1	LG1	+	1570913	1587436	12.424438	14.061671	17.577429
ENSONIG00000006959	ndufs3	LG1	+	1588731	1596645	119.894844	149.686096	187.111252
ENSONIG00000032543	-	LG1	-	1616216	1617412	0.000000	0.000000	0.000000
ENSONIG00000033438	-	LG1	+	1726612	1728456	0.000000	0.000000	0.000000
ENSONIG00000006954	-	LG1	-	1745026	1750485	0.000000	0.000000	0.000000
ENSONIG00000036931	-	LG1	-	1764679	1769758	0.000000	0.000000	0.000000
ENSONIG00000032403	-	LG1	+	1823282	1826191	0.000000	0.000000	0.000000
ENSONIG00000006940	-	LG1	+	1830577	1833430	0.000000	0.000000	0.000000
ENSONIG00000032169	-	LG1	-	1833909	1835855	0.000000	0.000000	0.000000
ENSONIG00000027529	-	LG1	+	1850747	1852573	0.000000	0.000000	0.000000
ENSONIG00000006935	atp6v0d1	LG1	+	1885753	1893754	28.062111	62.409626	78.013542
ENSONIG00000041202	oni-mir-10581d	LG1	+	1891172	1891227	0.000000	0.000000	0.000000
ENSONIG00000006931	foxr1	LG1	+	1903702	1909403	0.000000	0.000000	0.000000
ENSONIG00000031130	-	LG1	+	2002303	2004771	0.000000	0.000000	0.000000
ENSONIG00000034883	-	LG1	-	2022157	2067806	0.000000	0.000000	0.000000
ENSONIG00000037659	-	LG1	-	2025744	2036371	0.000000	0.000000	0.000000
ENSONIG00000040556	-	LG1	+	2068920	2071854	0.000000	0.000000	0.000000
ENSONIG00000015607	large2	LG1	-	2087727	2142589	0.986848	1.532923	1.916191
ENSONIG00000034014	-	LG1	+	2186974	2188101	0.000000	0.000000	0.000000
ENSONIG00000028674	-	LG1	+	2227974	2229422	0.000000	0.000000	0.000000
ENSONIG00000040408	-	LG1	-	2390751	2392184	0.000000	0.000000	0.000000
ENSONIG00000040736	-	LG1	+	2484422	2485441	0.000000	0.000000	0.000000
ENSONIG00000015612	-	LG1	+	2518265	2535255	15.315548	23.528425	29.411104
ENSONIG00000015615	-	LG1	+	2541392	2545268	0.000000	0.000000	0.000000
ENSONIG00000030395	-	LG1	+	2546683	2552026	0.000000	0.000000	0.000000
ENSONIG00000015616	-	LG1	+	2552674	2571376	0.000000	0.000000	0.000000
ENSONIG00000015618	ABTB2	LG1	+	2574288	2596783	0.000000	0.000000	0.000000
ENSONIG00000015626	BRSK2	LG1	-	2598847	2749824	0.000000	0.000000	0.000000
ENSONIG00000036551	-	LG1	+	2767913	2777425	3.526365	3.991052	4.988913
ENSONIG00000015633	rdh14a	LG1	+	2779978	2781595	6.310104	7.141619	8.927197
ENSONIG00000015636	-	LG1	+	2799371	2836356	2.480277	6.724553	8.405854
ENSONIG00000039450	SHANK2	LG1	+	2872213	3179253	0.000000	0.000000	0.000000
ENSONIG00000042241	-	LG1	-	3130909	3131928	0.000000	0.000000	0.000000
ENSONIG00000015695	dis3l	LG1	+	3304668	3344969	8.654254	10.297985	12.872731
ENSONIG00000029040	tipin	LG1	-	3345053	3358277	4.858668	5.677039	7.096436
ENSONIG00000032246	-	LG1	+	3350171	3350524	0.000000	0.000000	0.000000
ENSONIG00000015683	lctla	LG1	-	3365354	3377648	0.000000	0.000000	0.000000
ENSONIG00000015677	ccnb2	LG1	-	3388488	3391500	3.288000	3.721277	4.651686
ENSONIG00000015673	cars1	LG1	-	3394673	3409962	14.387601	20.004917	25.006632
ENSONIG00000028006	-	LG1	+	3397912	3398967	0.000000	0.000000	0.000000
ENSONIG00000015670	pex16	LG1	+	3411829	3426469	8.322996	9.419761	11.774929
ENSONIG00000030524	-	LG1	-	3418990	3420048	0.000000	0.000000	0.000000
ENSONIG00000015660	arfgap2	LG1	-	3426890	3441708	11.218785	19.921207	24.901991
ENSONIG00000015659	-	LG1	+	3442381	3455200	45.539257	51.540203	64.426498
ENSONIG00000015649	ppfia1	LG1	+	3511086	3556602	9.352051	11.068756	13.836215
ENSONIG00000028931	-	LG1	-	3591393	3611246	0.000000	0.000000	0.000000
ENSONIG00000027350	-	LG1	-	3631525	3633870	0.000000	0.000000	0.000000
ENSONIG00000035664	-	LG1	-	3651938	3656401	0.000000	0.000000	0.000000
ENSONIG00000028754	-	LG1	+	3707674	3711756	0.000000	0.000000	0.000000
ENSONIG00000008311	-	LG1	+	3840314	3856285	0.000000	0.000000	0.000000
ENSONIG00000008316	tollip	LG1	-	3857507	4050728	28.016193	37.509026	46.887192
ENSONIG00000038545	-	LG1	+	3868610	3871834	0.000000	0.000000	0.000000
ENSONIG00000007321	mtch2	LG1	+	3933805	3954320	9.471313	56.939777	71.176102
ENSONIG00000007320	TLNRD1	LG1	+	3964812	3966516	16.351967	18.506750	23.133888
ENSONIG00000033358	-	LG1	+	4020671	4022659	0.000000	0.000000	0.000000
ENSONIG00000028757	oni-mir-10898	LG1	+	4023316	4023386	0.000000	0.000000	0.000000
ENSONIG00000042289	-	LG1	+	4024419	4027454	0.000000	0.000000	0.000000
ENSONIG00000033332	-	LG1	-	4064079	4065365	0.000000	0.000000	0.000000
ENSONIG00000018108	-	LG1	+	4076096	4080271	1.832615	4.315633	5.394646
ENSONIG00000018107	-	LG1	-	4080092	4083797	7.337364	10.113383	12.641976
ENSONIG00000018097	ano1a	LG1	-	4095844	4146477	1.563988	6.584188	8.230395
ENSONIG00000032473	-	LG1	-	4159786	4162049	0.000000	0.000000	0.000000
